name,profile_url,rating,review_count,review_count_numeric,industry,description,salary_rating,job_security_rating,work_life_balance_rating,company_culture_rating,performance,best_rated_for,worst_rated_for
TCS,https://www.ambitionbox.com/overview/tcs-overview,3.3,1.1L,110000,"IT Services & Consulting, Financial Services, Internet, Education & Training, BPO","An IT services and consulting firm offering business solutions, committed to driving innovation for global enterprises.",2.5,3.8,3.5,3.2,Average,Job Security,Salary
Accenture,https://www.ambitionbox.com/overview/accenture-overview,3.7,73.5k,73500,"IT Services & Consulting, Analytics & KPO","Accenture plc is an Irish-American, professional services company based in Dublin, specializing in information technology services and consulting.",3.3,3.6,3.6,3.7,Good,Company Culture,Salary
Wipro,https://www.ambitionbox.com/overview/wipro-overview,3.6,65.1k,65099,"IT Services & Consulting, BPO","Wipro is a global company delivering innovation-led strategy, technology, and business consulting services.",3.0,3.7,3.6,3.6,Good,Job Security,Salary
Cognizant,https://www.ambitionbox.com/overview/cognizant-overview,3.7,61.5k,61500,IT Services & Consulting,"A leader in IT services, providing insights that empower businesses to anticipate customer needs and adapt in a dynamic environment.",3.2,3.6,3.6,3.5,Good,Job Security,Salary
Capgemini,https://www.ambitionbox.com/overview/capgemini-overview,3.6,53.4k,53400,"IT Services & Consulting, Analytics & KPO, Banking","Capgemini is an AI-powered global business and technology transformation partner, delivering tangible business value.",3.0,3.8,3.8,3.6,Good,Job Security,Salary
HDFC Bank,https://www.ambitionbox.com/overview/hdfc-bank-overview,3.8,52.4k,52400,"Financial Services, Insurance, Banking",HDFC Bank Limited is an Indian banking and financial services company headquartered in Mumbai.,3.4,3.9,3.5,3.6,Good,Job Security,Salary
Infosys,https://www.ambitionbox.com/overview/infosys-overview,3.5,48.8k,48800,N/A,N/A,4.0,N/A,N/A,N/A,Good,Salary,Salary
HCLTech,https://www.ambitionbox.com/overview/hcl-technologies-overview,3.4,46k,46000,N/A,N/A,5.0,N/A,N/A,N/A,Average,Salary,Salary
ICICI Bank,https://www.ambitionbox.com/overview/icici-bank-overview,4.0,46k,46000,"Financial Services, Banking","Leading private-sector bank in India, delivering innovative financial solutions, offering services across retail, corporate, and digital banking sectors.",3.7,4.0,3.7,3.7,Excellent,Job Security,Salary
Tech Mahindra,https://www.ambitionbox.com/overview/tech-mahindra-overview,3.4,43.3k,43300,"IT Services & Consulting, Analytics & KPO, Engineering & Construction","We are digital changemakers – here to disrupt old ideas, blaze new trails, and help enterprises transform and scale at unparalleled speed. We are Tech Mahindra!",2.9,3.3,3.4,3.2,Average,Work-Life Balance,Salary
Genpact,https://www.ambitionbox.com/overview/genpact-overview,3.6,42.4k,42400,"Analytics & KPO, Financial Services","Global leader in digital transformation, combining AI and analytics to drive growth. With $4.7 billion in 2024 revenue, it empowers businesses across industries to innovate and thrive.",3.0,3.9,3.6,3.5,Good,Job Security,Salary
TP ,https://www.ambitionbox.com/overview/tp-overview,3.9,38.6k,38600,N/A,N/A,5.0,N/A,N/A,N/A,Good,Salary,Salary
